Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;ACEH;BANDENG;2010;20454.8;272487686
BUDIDAYA;ACEH;BANDENG;2011;16746.8;251202000
BUDIDAYA;ACEH;BANDENG;2012;18492.3;295876800
BUDIDAYA;ACEH;BANDENG;2013;20530;315768921
BUDIDAYA;ACEH;BANDENG;2014;23914.1;373190273
BUDIDAYA;ACEH;BANDENG;2015;24930.75;393447645
BUDIDAYA;ACEH;BANDENG;2016;30537;586835465
BUDIDAYA;ACEH;BANDENG;2017;8708.84;147971866
BUDIDAYA;ACEH;BANDENG;2018;19805.32;441277765
BUDIDAYA;ACEH;BANDENG;2019;32723.14;630565000
BUDIDAYA;ACEH;BANDENG;2020;27186.13;804454485
BUDIDAYA;BALI;BANDENG;2010;108;2249700
BUDIDAYA;BALI;BANDENG;2011;190.9;3818000
BUDIDAYA;BALI;BANDENG;2012;228.15;3992625
BUDIDAYA;BALI;BANDENG;2013;71.2;1339325
BUDIDAYA;BALI;BANDENG;2014;142.2;2194000
BUDIDAYA;BALI;BANDENG;2015;36.7;587
BUDIDAYA;BALI;BANDENG;2016;0.5;7,5
BUDIDAYA;BALI;BANDENG;2017;185;3143284
BUDIDAYA;BALI;BANDENG;2019;18.91;378,14
BUDIDAYA;BALI;BANDENG;2020;18.23;487,867
BUDIDAYA;BANTEN;BANDENG;2010;11071;82781877
BUDIDAYA;BANTEN;BANDENG;2011;9542.74;124055620
BUDIDAYA;BANTEN;BANDENG;2012;8739.46;239161200
BUDIDAYA;BANTEN;BANDENG;2013;10997.1;171425024
BUDIDAYA;BANTEN;BANDENG;2014;11141.62;174132000
BUDIDAYA;BANTEN;BANDENG;2015;10637.65;185663300
BUDIDAYA;BANTEN;BANDENG;2016;11022.17;192940140
BUDIDAYA;BANTEN;BANDENG;2017;25074.42;426039538
BUDIDAYA;BANTEN;BANDENG;2018;12585.47;223895037
BUDIDAYA;BANTEN;BANDENG;2019;12456.43;231674802
BUDIDAYA;BANTEN;BANDENG;2020;10616.02;310695178
BUDIDAYA;BENGKULU;BANDENG;2010;367;4123000
BUDIDAYA;BENGKULU;BANDENG;2011;318.32;3819840
BUDIDAYA;BENGKULU;BANDENG;2012;91.56;1144500
BUDIDAYA;BENGKULU;BANDENG;2013;120.2;2121600
BUDIDAYA;BENGKULU;BANDENG;2014;123.5;2473000
BUDIDAYA;BENGKULU;BANDENG;2015;362;12670000
BUDIDAYA;BENGKULU;BANDENG;2016;78;1950000
BUDIDAYA;BENGKULU;BANDENG;2017;754.58;12821018
BUDIDAYA;BENGKULU;BANDENG;2019;3;66
BUDIDAYA;BENGKULU;BANDENG;2020;215.65;11997682
