Jenis Usaha;Provinsi;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi
BUDIDAYA;ACEH;LELE;2010;7465.9;168973271
BUDIDAYA;ACEH;LELE;2011;1606.1;28106750
BUDIDAYA;ACEH;LELE;2012;3360.47;60488460
BUDIDAYA;ACEH;LELE;2013;3069.2;65353949
BUDIDAYA;ACEH;LELE;2014;5920.9;112596324
BUDIDAYA;ACEH;LELE;2015;5135.8;100956336
BUDIDAYA;ACEH;LELE;2016;6795.72;141062806
BUDIDAYA;ACEH;LELE;2017;13140.86;228256808
BUDIDAYA;ACEH;LELE;2018;10997.02;253219473
BUDIDAYA;ACEH;LELE;2019;12779.5;208199782
BUDIDAYA;ACEH;LELE;2020;8177.01;198609342
BUDIDAYA;BALI;LELE;2010;557.8;9666696
BUDIDAYA;BALI;LELE;2011;1689.95;18589450
BUDIDAYA;BALI;LELE;2012;1664.93;47450505
BUDIDAYA;BALI;LELE;2013;2586.6;32710690
BUDIDAYA;BALI;LELE;2014;2717.89;36928512
BUDIDAYA;BALI;LELE;2015;2182.29;32974600
BUDIDAYA;BALI;LELE;2016;2422.26;38499816
BUDIDAYA;BALI;LELE;2017;5563.82;96643553
BUDIDAYA;BALI;LELE;2018;3256.89;54093233
BUDIDAYA;BALI;LELE;2019;3324.43;57672398
BUDIDAYA;BALI;LELE;2020;3155.63;58654397
BUDIDAYA;BANTEN;LELE;2010;5554.34;55960034
BUDIDAYA;BANTEN;LELE;2011;7230.67;75922035
BUDIDAYA;BANTEN;LELE;2012;8323.61;92680900
BUDIDAYA;BANTEN;LELE;2013;9667.77;131497179
BUDIDAYA;BANTEN;LELE;2014;10261.46;166440666
BUDIDAYA;BANTEN;LELE;2015;10216.27;174318772
BUDIDAYA;BANTEN;LELE;2016;9274.48;151431698
BUDIDAYA;BANTEN;LELE;2017;40239.88;698966663
BUDIDAYA;BANTEN;LELE;2018;13875.21;239688913
BUDIDAYA;BANTEN;LELE;2019;14116.99;261568933
BUDIDAYA;BANTEN;LELE;2020;13357.57;267322189
BUDIDAYA;BENGKULU;LELE;2010;1852.28;24537635
BUDIDAYA;BENGKULU;LELE;2011;5543.73;66524760
BUDIDAYA;BENGKULU;LELE;2012;5859.65;64456150
BUDIDAYA;BENGKULU;LELE;2013;5363.54;81818329
BUDIDAYA;BENGKULU;LELE;2014;6554.32;120685948
BUDIDAYA;BENGKULU;LELE;2015;9063.46;181287520
BUDIDAYA;BENGKULU;LELE;2016;12929.3;267174300
BUDIDAYA;BENGKULU;LELE;2017;36616.64;636031037
BUDIDAYA;BENGKULU;LELE;2018;28071.89;559148677
BUDIDAYA;BENGKULU;LELE;2019;35149.95;744639075
BUDIDAYA;BENGKULU;LELE;2020;15072.27;350948056
BUDIDAYA;DAERAH ISTIMEWA YOGYAKARTA;LELE;2010;21539.15;232503292
BUDIDAYA;DAERAH ISTIMEWA YOGYAKARTA;LELE;2011;23219.59;232195900
